'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
11.3821534,178,197.605565
11.4026476,167,197.120251
11.4231419,189,196.616105
11.4436362,191,196.070233
11.4641304,196,195.511293
11.4846247,164,194.96403
11.505119,176,194.409794
11.5256132,181,193.844493
11.5461075,185,193.281407
11.5666017,175,192.723061
11.587096,198,192.164844
11.6075903,174,191.604247
11.6280845,178,191.040647
11.6485788,201,190.473936
11.6690731,184,189.904154
11.6895673,190,189.331402
11.7100616,179,188.755836
11.7305558,178,188.177701
11.7510501,154,187.597443
11.7715444,169,187.015633
11.7920386,178,186.432022
11.8125329,183,185.845004
11.8330272,165,185.254491
11.8535214,182,184.661467
11.8740157,197,184.066366
11.8945099,161,183.469331
11.9150042,187,182.870481
11.9354985,163,182.269936
11.9559927,166,181.667818
11.976487,183,181.064252
11.9969813,157,180.459366
12.0174755,178,179.853292
12.0379698,189,179.246166
12.058464,157,178.638133
12.0789583,203,178.029343
12.0994526,178,177.419958
12.1199468,165,176.810152
12.1404411,172,176.200114
12.1609354,153,175.590063
12.1814296,146,174.980252
12.2019239,152,174.370958
12.2224181,169,173.762501
12.2429124,155,173.155271
12.2634067,167,172.549746
12.2839009,171,171.946525
12.3043952,161,171.346385
12.3248895,174,170.75036
12.3453837,188,170.159871
12.365878,175,169.576983
12.3863722,154,169.004946
12.4068665,184,168.449553
12.4273608,175,167.922145
12.447855,175,167.444515
12.4683493,162,167.055144
12.4888436,148,166.818764
12.5093378,175,166.844703
12.5298321,176,167.322491
12.5503263,204,168.592393
12.5708206,241,171.292895
12.5913149,490,176.638378
12.6118091,601,186.340753
12.6323034,423,199.583109
12.6527977,346,206.511
12.6732919,413,196.856372
12.6937862,361,185.183079
12.7142804,249,182.546545
12.7347747,173,180.304436
12.755269,153,171.758571
12.7757632,158,163.259359
12.7962575,153,159.151845
12.8167518,151,157.355448
12.837246,159,156.23726
12.8577403,176,155.351969
12.8782345,171,154.573969
12.8987288,179,153.851837
12.9192231,153,153.160811
12.9397173,140,152.495337
12.9602116,145,151.849039
12.9807059,160,151.214385
13.0012001,149,150.587525
13.0216944,175,149.969153
13.0421886,141,149.35823
13.0626829,182,148.753126
13.0831772,154,148.152837
13.1036714,147,147.556765
13.1241657,152,146.964497
13.14466,151,146.37573
13.1651542,146,145.790237
13.1856485,154,145.207843
13.2061427,142,144.628414
13.226637,151,144.051847
13.2471313,162,143.478064
13.2676255,140,142.907006
13.2881198,150,142.338627
13.3086141,167,141.772894
13.3291083,155,141.209787
13.3496026,128,140.649304
13.3700968,127,140.091465
13.3905911,149,139.536323
13.4110854,134,138.983985
13.4315796,133,138.434642
13.4520739,117,137.888641
13.4725682,132,137.34662
13.4930624,141,136.809814
13.5135567,123,136.280636
13.5340509,115,135.762471
13.5545452,123,135.252388
13.5750395,129,134.726968
13.5955337,118,134.171183
13.616028,123,133.629749
13.6365223,132,133.108145
13.6570165,143,132.584441
13.6775108,131,132.045409
13.698005,113,131.512888
13.7184993,144,130.992213
13.7389936,125,130.478727
13.7594878,144,129.969213
13.7799821,143,129.462708
13.8004764,112,128.958998
13.8209706,121,128.458009
13.8414649,123,127.959698
13.8619591,131,127.464027
13.8824534,118,126.970937
13.9029477,118,126.480285
13.9234419,116,125.991755
13.9439362,117,125.504961
13.9644305,142,125.020298
13.9849247,155,124.539429
14.005419,106,124.062556
